,#,ID1_2,ID2_2,ID3_2,RA_2,Dec_2,z_2,S_NVSS,L_NVSS,S_First,L_First,size_rad,FRclass,g_min_r,concent,mass_2,bk4000,o3lum_1,Mbh/Mstar,R_50_kpc,mu50,sfr_tot_p50,specsfr_tot_p50,o3lum_2,o3redcor,o3sn,o3lumlim,o3
144,,996,52641,34,10.234557,6.2434400000000005,0.10664000000000001,0.0869,24.39,0.0,0.0,14.15,200,1.03,3.15,11.62,1.94,5.9,0.001380385355838289,9.34754031777231,759320846.3660978,-0.6678921999999999,-12.33462,5.9,7.03,1.1,6.33,0.0
145,,1185,52642,423,8.379898599999999,4.297219999999999,0.09541000000000001,0.132,24.47,0.0024,22.729636654599837,80.1,200,1.01,3.27,11.35,1.94,5.91,0.0014125363038976315,5.3059182661598605,1265608554.6617358,-0.9963719000000001,-12.39632,5.91,6.97,2.1,6.07,0.0
146,,1000,52643,18,10.741748,5.74516,0.24531999999999998,0.0419,24.85,0.0,0.0,18.9,200,1.13,2.97,11.68,1.88,6.62,0.0010715186464071414,11.335383333860927,592854354.2652818,-1.008724,-12.76186,6.62,7.76,2.11,6.77,0.0
147,,905,52643,356,10.440211999999999,54.48508,0.1567,0.213,25.14,0.0,0.0,31.97,210,1.06,2.9,11.2,1.82,6.22,0.00040738040304434886,8.701322624217344,333157349.1075663,-1.016576,-12.27045,6.22,6.22,2.18,6.36,0.0
148,,971,52644,150,12.464675999999999,49.676559999999995,0.26494,0.042,24.93,0.0036,23.863053527409573,68.58,210,1.12,3.09,11.58,1.95,6.35,0.0009549936765056096,10.319838300962623,568164729.832811,-0.7259857,-12.36786,6.35,7.47,1.05,6.8,0.0
149,,1009,52644,427,10.528754,52.42644,0.16651,0.7979999999999999,25.77,0.0837,24.790723052101413,42.96,200,0.99,3.12,11.29,1.51,7.48,0.001148154730847072,5.100017013668584,1193099994.4335015,0.36688930000000003,-10.97214,7.48,7.99,20.61,6.65,7.48
150,,1002,52646,296,10.91815,5.91489,0.17287,0.161,25.11,0.0013,23.01711808469755,74.25,200,0.98,2.99,11.22,1.82,6.8,0.0008128302305789093,7.13775798396652,518437922.5814841,-0.6764134,-11.92475,6.8,7.81,4.93,6.59,6.8
151,,1186,52646,613,8.6155192,5.54502,0.09927000000000001,0.055,24.13,0.0165,23.607120432743567,155.19,210,0.99,2.42,11.3,1.64,7.23,0.00022908658417692147,8.74012309873618,415704976.4576523,0.241019,-11.117519999999999,7.23,8.04,32.55,6.2,7.23
152,,1012,52649,197,11.214872,53.83028,0.21558000000000002,0.102,25.12,0.0,0.0,12.02,200,1.18,3.21,11.68,2.07,6.3,0.0017377999128939915,10.561495793505658,682919598.0117089,-0.5792924,-12.29703,6.3,7.45,1.32,6.66,0.0
153,,1010,52649,199,10.737867999999999,52.68209,0.18684,0.0557,24.72,0.0024,23.35435538928373,47.67,210,1.09,3.22,11.32,1.92,6.27,0.0014791086480080836,6.503257064602634,786245157.5705478,-1.0777700000000001,-12.46011,6.27,7.31,1.28,6.64,0.0
154,,1192,52649,448,9.049780300000002,6.32909,0.07708,0.057999999999999996,23.92,0.0099,23.152207282819518,33.27,210,1.01,3.07,11.31,2.03,5.72,0.0011481522095981925,6.553269282442643,756666528.464963,-1.038543,-12.39847,5.72,6.76,1.6,5.99,0.0
155,,945,52652,488,10.019807,55.13936999999999,0.21445999999999998,0.1012,25.11,0.0,0.0,45.21,210,1.1,3.24,11.65,1.91,6.44,0.001096478099832217,10.867440387983887,601956650.514776,-0.7055431999999999,-12.38524,6.44,7.57,1.77,6.67,0.0
156,,1200,52668,457,9.1627513,41.95585,0.14003,0.2657,25.13,0.0,0.0,11.19,200,1.04,2.66,11.73,1.97,5.97,0.0006309576215861531,14.881911553578641,385924398.26089793,-0.5558927,-12.36289,5.97,7.13,1.21,6.37,0.0
